<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.20	10:00:00	6131.376	6146.568	6129.688	6144.317	66514	235622	1
2024.09.20	10:15:00	6143.755	6160.635	6135.877	6153.883	50619	187292	1
2024.09.20	10:30:00	6153.883	6177.515	6149.944	6175.827	55517	212745	1
2024.09.20	10:45:00	6175.827	6183.704	6166.261	6171.325	47073	191837	1
2024.09.20	11:00:00	6171.325	6176.952	6164.011	6168.512	43053	159524	1
2024.09.20	11:15:00	6169.075	6174.139	6165.136	6170.763	16439	62597	1
2024.09.20	11:30:00	6170.200	6183.704	6169.075	6182.016	24334	87195	1
2024.09.20	11:45:00	6182.579	6189.331	6178.077	6187.643	26979	103614	1
2024.09.20	12:00:00	6188.205	6193.832	6181.453	6182.579	33163	125764	1
2024.09.20	12:15:00	6182.579	6191.019	6181.453	6183.704	14225	54199	1
2024.09.20	12:30:00	6183.704	6184.829	6173.576	6177.515	23085	85103	1
2024.09.20	12:45:00	6177.515	6183.704	6173.013	6183.141	14225	52656	1
2024.09.20	13:00:00	6183.141	6201.709	6179.765	6196.083	27001	101196	1
2024.09.20	13:15:00	6196.645	6207.899	6192.707	6203.960	26172	98750	1
2024.09.20	13:30:00	6203.397	6209.024	6196.083	6201.709	18528	76108	1
2024.09.20	13:45:00	6201.147	6207.336	6199.459	6205.648	10950	38022	1
2024.09.20	14:00:00	6205.648	6214.651	6203.397	6210.149	18776	82136	1
2024.09.20	14:15:00	6210.149	6212.400	6205.085	6207.336	11227	43964	1
2024.09.20	14:30:00	6207.336	6213.525	6198.896	6200.584	18303	67645	1
2024.09.20	14:45:00	6200.021	6206.211	6195.520	6205.085	15741	61998	1
2024.09.20	15:00:00	6205.085	6211.837	6205.085	6209.587	10454	37764	1
2024.09.20	15:15:00	6209.024	6209.587	6202.835	6207.899	9725	34410	1
2024.09.20	15:30:00	6207.336	6220.840	6206.773	6219.715	15235	56126	1
2024.09.20	15:45:00	6219.152	6219.715	6210.712	6211.837	14059	64641	1
2024.09.20	16:00:00	6211.275	6221.403	6211.275	6216.901	12894	50266	1
2024.09.20	16:15:00	6216.901	6217.464	6211.837	6214.651	8479	32981	1
2024.09.20	16:30:00	6214.088	6221.965	6213.525	6217.464	10322	43640	1
2024.09.20	16:45:00	6217.464	6219.715	6216.339	6216.901	6217	21298	1
2024.09.20	17:00:00	6217.464	6221.403	6212.963	6214.651	8464	27746	1
2024.09.20	17:15:00	6215.213	6215.213	6211.275	6211.837	5295	18957	1
2024.09.20	17:30:00	6211.837	6214.088	6208.461	6209.024	8066	29646	1
2024.09.20	17:45:00	6209.024	6211.275	6205.085	6206.773	5414	17993	1
2024.09.20	18:00:00	6206.211	6213.525	6205.085	6212.400	3774	12714	1
2024.09.20	18:15:00	6212.400	6216.339	6208.461	6210.712	3978	19733	1
2024.09.23	09:00:00	6271.480	6305.803	6270.355	6273.168	101949	323046	1
2024.09.23	09:15:00	6273.168	6278.232	6259.664	6266.416	66154	222866	1
2024.09.23	09:30:00	6266.979	6284.984	6264.165	6278.795	53886	169691	1
2024.09.23	09:45:00	6279.357	6280.483	6256.851	6263.040	49105	154867	1
2024.09.23	10:00:00	6263.603	6264.165	6238.845	6247.848	56761	196903	1
2024.09.23	10:15:00	6247.285	6261.352	6247.285	6259.101	30593	106470	1
2024.09.23	10:30:00	6259.101	6265.291	6250.099	6258.539	41847	133314	1
2024.09.23	10:45:00	6257.976	6261.352	6245.597	6256.288	34504	116890	1
2024.09.23	11:00:00	6256.851	6259.664	6243.347	6247.285	30819	103485	1
2024.09.23	11:15:00	6246.723	6251.224	6239.408	6247.848	28853	102101	1
2024.09.23	11:30:00	6247.848	6252.912	6242.221	6246.723	24048	82552	1
2024.09.23	11:45:00	6246.723	6248.411	6229.843	6230.968	27349	102006	1
2024.09.23	12:00:00	6230.968	6238.845	6229.843	6237.157	18427	73137	1
2024.09.23	12:15:00	6237.157	6237.720	6226.467	6235.469	17238	60447	1
2024.09.23	12:30:00	6236.032	6239.408	6231.531	6231.531	14227	51240	1
2024.09.23	12:45:00	6232.093	6236.032	6229.843	6233.219	8516	26774	1
2024.09.23	13:00:00	6233.219	6249.536	6233.219	6248.411	21518	87147	1
2024.09.23	13:15:00	6248.411	6251.787	6243.347	6245.035	15863	50335	1
2024.09.23	13:30:00	6245.597	6248.973	6238.845	6241.659	13326	41917	1
2024.09.23	13:45:00	6242.221	6243.909	6237.157	6239.971	9710	31763	1
2024.09.23	14:00:00	6239.971	6241.659	6229.843	6233.219	15866	55667	1
2024.09.23	14:15:00	6232.656	6236.032	6224.779	6227.029	13679	46576	1
2024.09.23	14:30:00	6227.592	6230.968	6223.091	6230.405	13058	46555	1
2024.09.23	14:45:00	6229.843	6232.656	6228.155	6229.280	9560	32807	1
2024.09.23	15:00:00	6228.717	6236.595	6227.592	6230.405	11485	39780	1
2024.09.23	15:15:00	6230.405	6234.907	6226.467	6234.344	11278	41619	1
2024.09.23	15:30:00	6234.344	6234.344	6228.155	6233.781	8306	29871	1
2024.09.23	15:45:00	6234.344	6235.469	6228.155	6229.280	10221	48977	1
2024.09.23	16:00:00	6229.843	6230.405	6225.904	6226.467	7222	25508	1
2024.09.23	16:15:00	6226.467	6230.405	6225.904	6230.405	5111	17829	1
2024.09.23	16:30:00	6230.405	6233.781	6228.155	6233.219	7013	25024	1
2024.09.23	16:45:00	6232.656	6235.469	6229.280	6231.531	7988	28087	1
2024.09.23	17:00:00	6232.093	6236.032	6228.155	6234.907	10424	43714	1
2024.09.23	17:15:00	6235.469	6240.533	6233.219	6234.907	9661	34844	1
2024.09.23	17:30:00	6234.907	6237.720	6234.344	6234.907	3252	11504	1
2024.09.23	17:45:00	6234.907	6236.595	6232.656	6235.469	3039	8836	1
2024.09.23	18:00:00	6234.907	6235.469	6232.093	6233.781	2450	7158	1
2024.09.23	18:15:00	6233.219	6241.659	6233.219	6235.469	3298	14251	1
2024.09.24	09:00:00	6214.088	6223.091	6194.957	6210.149	71145	212905	1
2024.09.24	09:15:00	6210.149	6222.528	6192.707	6194.395	64437	208848	1
2024.09.24	09:30:00	6193.832	6197.208	6175.827	6180.328	54373	190128	1
2024.09.24	09:45:00	6179.765	6181.453	6159.509	6169.075	54421	195395	1
